accession	scientific_name	first_public	base_count
X60792	Drosophila melanogaster	1991-10-07	1901
U95273	Drosophila insularis	1999-01-06	1183
AB261140	Drosophila maculinotata	2007-11-03	840
X57361	Drosophila simulans	1991-07-17	969
AB154559	Drosophila kikkawai	2004-04-01	683
AF201446	Drosophila simulans	2000-07-03	481
AY095942	Drosophila kuntzei	2003-05-01	431
AY335200	Drosophila sturtevanti	2003-12-31	792
DQ471624	Drosophila multidentata	2006-07-20	711
JX455212	Drosophila simulans	2012-09-03	480
KJ767239	Drosophila melanogaster	2014-09-04	872
KX976496	Drosophila yakuba	2016-11-12	771
KX976499	Drosophila yakuba	2016-11-12	771
KX976511	Drosophila yakuba	2016-11-12	771
LC057197	Drosophila sp. KO4	2019-06-04	822
M19276	Drosophila simulans	1991-07-26	829
M60984	Drosophila pseudoobscura	1992-04-30	3494
U95270	Drosophila paulistorum	1999-01-06	1168
AB154546	Drosophila kikkawai	2004-04-01	686
AF201431	Drosophila simulans	2000-07-03	480
DQ471648	Drosophila barutani	2006-07-20	711
HQ110516	Drosophila prosaltans	2011-05-06	859
HQ110517	Drosophila prosaltans	2011-05-06	828
KX976503	Drosophila yakuba	2016-11-12	771
KX976508	Drosophila yakuba	2016-11-12	771
KX976510	Drosophila yakuba	2016-11-12	771
M60982	Drosophila pseudoobscura	1992-04-30	3472
AB154545	Drosophila kikkawai	2004-04-01	683
AB154563	Drosophila lini	2004-04-01	698
AF201426	Drosophila mauritiana	2000-07-03	478
AF201439	Drosophila simulans	2000-07-03	485
AF201444	Drosophila simulans	2000-07-03	479
AF284480	Drosophila sechellia	2000-11-02	700
AY095936	Drosophila limbata	2003-05-01	446
AY095937	Drosophila transversa	2003-05-01	437
AY095945	Drosophila curvispina	2003-05-01	443
AY156524	Drosophila navojoa	2003-03-03	879
EU532125	Drosophila paulistorum	2010-01-21	542
KX976514	Drosophila yakuba	2016-11-12	771
M60986	Drosophila pseudoobscura	1992-01-26	3463
AB154547	Drosophila kikkawai	2004-04-01	683
AB154555	Drosophila kikkawai	2004-04-01	683
AF201433	Drosophila simulans	2000-07-03	479
KX976509	Drosophila yakuba	2016-11-12	771
AY095948	Drosophila unispina	2003-05-01	442
KX976504	Drosophila yakuba	2016-11-12	771
KX976494	Drosophila yakuba	2016-11-12	771
AB669844	Drosophila malagassya	2014-01-02	840
AB669863	Drosophila kikkawai	2014-01-02	832
AB669870	Drosophila ogumai	2014-01-02	836
AF136671	Drosophila americana americana	1999-06-03	884
AF136684	Drosophila americana americana	1999-06-03	884
AF136689	Drosophila americana americana	1999-06-03	884
AF136703	Drosophila americana texana	1999-06-03	884
AF459754	Drosophila ananassae	2002-05-16	290
AF459774	Drosophila serrata	2002-05-16	290
L78927	Drosophila mimica	1996-06-25	822
U64538	Drosophila pseudoobscura	1996-08-16	3510
U64553	Drosophila pseudoobscura	1996-08-16	3455
U64554	Drosophila pseudoobscura	1996-08-16	3467
AB669892	Drosophila pseudobaimaii	2014-01-02	779
AF136693	Drosophila americana americana	1999-06-03	884
AF175213	Drosophila melanogaster	1999-10-06	951
AF175215	Drosophila melanogaster	1999-10-06	951
L78924	Drosophila mimica	1996-06-25	822
L78926	Drosophila mimica	1996-06-25	822
U76475	Drosophila hydei	1996-11-19	897
AF136660	Drosophila americana americana	1999-06-03	884
AF136666	Drosophila americana americana	1999-06-03	884
AF136697	Drosophila americana americana	1999-06-03	884
AF459752	Drosophila mimetica	2002-05-16	290
AF459759	Drosophila pallidosa	2002-05-16	290
AF459761	Drosophila bicornuta	2002-05-16	290
AF459762	Drosophila diplacantha	2002-05-16	290
AF459766	Drosophila vulcana	2002-05-16	290
AF459768	Drosophila auraria	2002-05-16	290
AF459780	Drosophila mayri	2002-05-16	290
AY364501	Drosophila mojavensis	2004-01-30	880
EF560574	Drosophila gasici	2008-05-01	622
U64521	Drosophila pseudoobscura	1996-08-16	3484
U64523	Drosophila pseudoobscura	1996-08-16	3468
U64527	Drosophila pseudoobscura	1996-08-16	3474
U76469	Drosophila hydei	1996-11-19	897
AB669825	Drosophila auraria	2014-01-02	842
AB669845	Drosophila malagassya	2014-01-02	836
AB669878	Drosophila serrata	2014-01-02	838
AF136701	Drosophila americana texana	1999-06-03	884
AF459748	Drosophila prostipennis	2002-05-16	290
U76471	Drosophila hydei	1996-11-19	897
AF459745	Drosophila bifasciata	2002-05-16	290
EF560575	Drosophila gasici	2008-05-01	622
U64531	Drosophila pseudoobscura	1996-08-16	3473
AY695390	Drosophila dunni	2006-08-01	385
AF136664	Drosophila americana americana	1999-06-03	884
U94200	Drosophila longiperda	1998-02-23	204
U64558	Drosophila pseudoobscura	1996-08-16	3471
AH011596	Drosophila lutescens	2016-04-08	911
AY340286	Drosophila americana	2003-08-13	881
AY340290	Drosophila americana	2003-08-13	881
AY364500	Drosophila mojavensis	2004-01-30	880
AY364503	Drosophila mojavensis	2004-01-30	880
AY364504	Drosophila mojavensis	2004-01-30	880
AY364516	Drosophila mojavensis	2004-01-30	879
AY874364	Drosophila subobscura	2005-05-31	1412
AB669823	Drosophila asahinai	2014-01-02	839
AB669843	Drosophila greeni	2014-01-02	830
AB669895	Drosophila tsukubaensis	2014-01-02	841
AB932672	Drosophila ruberrima	2014-10-26	858
AF136650	Drosophila americana americana	1999-06-03	884
AY340279	Drosophila americana	2003-08-13	881
AY340300	Drosophila americana	2003-08-13	881
AY541101	Drosophila innubila	2004-12-13	555
U76481	Drosophila mulleri	1997-03-06	902
AF136653	Drosophila americana americana	1999-06-03	884
AY340291	Drosophila americana	2003-08-13	881
AY340293	Drosophila americana	2003-08-13	881
AY364502	Drosophila mojavensis	2004-01-30	880
AY541100	Drosophila innubila	2004-12-13	555
AB703323	Drosophila narragansett	2012-03-18	405
AF136652	Drosophila americana americana	1999-06-03	884
AF136655	Drosophila americana americana	1999-06-03	884
AH011595	Drosophila triauraria	2016-04-08	546
AY340298	Drosophila americana	2003-08-13	881
AY364511	Drosophila mojavensis	2004-01-30	879
AY541096	Drosophila innubila	2004-12-13	555
AY874372	Drosophila subobscura	2005-05-31	1406
AY364514	Drosophila mojavensis	2004-01-30	879
AY364521	Drosophila mojavensis	2004-01-30	879
AY340297	Drosophila americana	2003-08-13	881
AY340304	Drosophila americana	2003-08-13	881
U76479	Drosophila mulleri	1997-03-06	902
AB669857	Drosophila barbarae	2014-01-02	833
LC057200	Drosophila pseudotakahashii	2019-06-04	830
AB669880	Drosophila baimaii	2014-01-02	838
AF067281	Drosophila eskoi	1998-07-02	435
M19547	Drosophila melanogaster	1991-07-01	7119
AB669876	Drosophila birchii	2014-01-02	833
AY044130	Drosophila formosana	2002-08-06	721
AY154849	Drosophila arizonae	2003-03-03	878
AY154859	Drosophila arizonae	2003-03-03	880
AY154862	Drosophila arizonae	2003-03-03	880
AY364512	Drosophila mojavensis	2004-01-30	879
AB194438	Drosophila bipectinata	2005-05-07	759
AY154848	Drosophila arizonae	2003-03-03	878
AY154851	Drosophila arizonae	2003-03-03	880
M60996	Drosophila pseudoobscura bogotana	1992-04-30	3450
M60994	Drosophila pseudoobscura bogotana	1992-04-30	3471
AF045121	Drosophila milleri	1998-06-02	405
AF045117	Drosophila subsaltans	1998-06-02	405
AY154828	Drosophila mojavensis	2003-03-03	880
AY154866	Drosophila mojavensis	2003-03-03	880
AF045123	Drosophila austrosaltans	1998-06-02	405
AF045126	Drosophila emarginata	1998-06-02	405
AY154839	Drosophila mojavensis	2003-03-03	880
AY154865	Drosophila mojavensis	2003-03-03	880
U40987	Drosophila imaii	1996-09-27	429
AB194422	Drosophila malerkotliana malerkotliana	2005-05-07	1782
AF348884	Drosophila rufa	2001-04-16	667
X58694	Drosophila hydei	1991-04-11	8447
U35852	Drosophila melanogaster	1995-10-12	303
CV785154	Drosophila yakuba	2004-11-12	433
CV785799	Drosophila yakuba	2004-11-12	521
CV878941	Drosophila yakuba	2004-11-20	703
CV879066	Drosophila yakuba	2004-11-20	709
AI404931	Drosophila melanogaster	1999-02-10	702
AY695384	Drosophila arawakana	2006-08-01	1141
AI108260	Drosophila melanogaster	1998-09-04	378
AY695388	Drosophila dunni	2006-08-01	1141
BF490844	Drosophila melanogaster	2000-12-07	668
AI260852	Drosophila melanogaster	1998-11-13	737
BI617843	Drosophila melanogaster	2001-09-11	512
BI635199	Drosophila melanogaster	2001-09-11	558
AW941952	Drosophila melanogaster	2000-06-03	450
AF006567	Drosophila persimilis	1997-09-11	3502
U65746	Drosophila buzzatii	1996-10-21	8725
X00607	Drosophila simulans	1985-06-13	4607
M37276	Drosophila mojavensis	1990-09-13	8783
AY279325	Drosophila orena	2004-03-31	1724
KU559568	Drosophila virilis	2016-05-31	14750
M63291	Drosophila silvestris	1991-04-04	1635
X62193	Drosophila pseudoobscura	1992-10-16	3483
X62220	Drosophila pseudoobscura	1992-10-16	3479
AY040854	Drosophila melanogaster	2001-08-19	1180
JF735882	Drosophila nigromelanica	2011-10-24	626
X62214	Drosophila pseudoobscura	1992-10-16	3486
X62228	Drosophila pseudoobscura	1992-10-16	3464
M60791	Drosophila adiastola	1992-06-06	912
X62206	Drosophila pseudoobscura	1992-10-16	3499
X62204	Drosophila pseudoobscura	1992-10-16	3499
X64480	Drosophila pseudoobscura	1992-10-16	3470
X62195	Drosophila pseudoobscura	1992-10-16	3499
X62199	Drosophila pseudoobscura	1992-10-16	3475
X62226	Drosophila pseudoobscura	1992-10-16	3466
X64486	Drosophila pseudoobscura	1992-10-16	3475
AY238778	Drosophila miranda	2003-04-08	2042
AY238777	Drosophila miranda	2003-04-08	2042
AY081440	Drosophila tripunctata	2002-08-09	217
AY750123	Drosophila melanica	2005-12-31	911
AY750132	Drosophila euronotus	2005-12-31	911
AY750144	Drosophila medioconstricta	2005-12-31	911
DQ471630	Drosophila barutani	2006-07-20	711
HQ631470	Drosophila bipectinata	2011-08-30	290
U26839	Drosophila borealis	1995-06-30	961
AF264077	Drosophila nebulosa	2000-05-30	405
AY006411	Drosophila picticornis	2001-09-04	510
AY750130	Drosophila neokadai	2005-12-31	911
DQ471667	Drosophila repleta	2006-07-20	711
HQ631471	Drosophila bocki	2011-08-30	290
HQ631473	Drosophila curveaedeagus (nomen nudum)	2011-08-30	290
HQ631484	Drosophila pulchrella	2011-08-30	290
AF059889	Drosophila melanica	1998-04-28	290
AY006409	Drosophila adunca	2001-09-04	508
AY006413	Drosophila nigribasis	2001-09-04	510
AY750116	Drosophila lacertosa	2005-12-31	911
AY750118	Drosophila longiserrata	2005-12-31	911
AY750127	Drosophila paramelanica	2005-12-31	911
DQ471655	Drosophila americana	2006-07-20	711
AY006417	Drosophila neoperkinsi	2001-09-04	510
AY750136	Drosophila okadai	2005-12-31	911
DQ471659	Drosophila eohydei	2006-07-20	711
U94203	Drosophila petalopeza	1998-02-23	204
AY750139	Drosophila sordidula	2005-12-31	911
DQ471661	Drosophila kanekoi	2006-07-20	711
X68165	Drosophila pseudoobscura	1992-10-08	3460
Z00032	Drosophila orena	1986-07-02	2617
GQ376035	Drosophila bipectinata	2009-08-02	410
U90956	Drosophila tristis	1997-11-14	428
GQ376034	Drosophila pseudoananassae	2009-08-02	410
AB261136	Drosophila pallidifrons	2007-11-03	861
AB932648	Drosophila bizonata	2015-01-14	844
AF260692	Drosophila montana	2000-09-20	456
AB932646	Drosophila angularis	2014-10-26	840
AB932662	Drosophila multispina	2014-10-26	852
KM016471	Drosophila simulans	2014-09-24	479
U26842	Drosophila montana	1995-06-22	957
X57374	Drosophila yakuba	1991-07-17	975
X60793	Drosophila melanogaster	1991-10-07	2763
AB033644	Drosophila brachynephros	1999-11-16	711
AB261135	Drosophila siamana	2007-11-03	855
AB932678	Drosophila transversa	2014-10-26	839
U95266	Drosophila willistoni	1999-01-06	1159
AB932664	Drosophila nigromaculata	2015-01-14	849
AB932679	Drosophila tripunctata	2014-10-26	836
AB932680	Drosophila unispina	2015-01-14	848
AF260699	Drosophila buzzatii	2000-09-20	2795
AH000980	Drosophila melanogaster	2016-06-13	2474
U95260	Drosophila willistoni	1999-01-06	1172
X57372	Drosophila yakuba	1991-07-17	975
X57376	Drosophila yakuba	1991-07-17	975
AB154553	Drosophila kikkawai	2004-04-01	675
AF201429	Drosophila simulans	2000-07-03	480
AY156525	Drosophila navojoa	2003-03-03	878
KX976486	Drosophila yakuba	2016-11-12	771
KX976513	Drosophila yakuba	2016-11-12	771
M60980	Drosophila pseudoobscura	1992-01-26	3476
AF201449	Drosophila simulans	2000-07-03	481
EU532128	Drosophila paulistorum	2010-01-21	562
HQ110512	Drosophila neocordata	2011-05-06	830
HQ110514	Drosophila neocordata	2011-05-06	819
HQ110515	Drosophila prosaltans	2011-05-06	859
KX976512	Drosophila yakuba	2016-11-12	771
KX976518	Drosophila yakuba	2016-11-12	771
AB154543	Drosophila kikkawai	2004-04-01	675
AB154544	Drosophila kikkawai	2004-04-01	683
AY095943	Drosophila curvispina	2003-05-01	443
AY335198	Drosophila saltans	2003-12-31	854
DQ471644	Drosophila barutani	2006-07-20	711
DQ471653	Drosophila kanekoi	2006-07-20	711
DQ471654	Drosophila tsigana	2006-07-20	711
JX455213	Drosophila simulans	2012-09-03	481
KX976489	Drosophila yakuba	2016-11-12	771
KX976497	Drosophila yakuba	2016-11-12	771
M60981	Drosophila pseudoobscura	1992-01-26	3475
M60985	Drosophila pseudoobscura	1992-04-30	3465
M60988	Drosophila pseudoobscura	1992-04-30	3467
U95258	Drosophila willistoni	1999-01-06	1172
AB154551	Drosophila kikkawai	2004-04-01	683
AF284481	Drosophila sechellia	2000-11-02	700
AY095938	Drosophila transversa	2003-05-01	437
DQ471613	Drosophila angor	2006-07-20	711
EU532129	Drosophila paulistorum	2010-01-21	558
KX976521	Drosophila yakuba	2016-11-12	771
DQ471628	Drosophila angor	2006-07-20	711
JX455216	Drosophila simulans	2012-09-03	480
KX976500	Drosophila yakuba	2016-11-12	771
KX976492	Drosophila yakuba	2016-11-12	771
AB669850	Drosophila burlai	2014-01-02	833
AB669859	Drosophila bocki	2014-01-02	831
AF136695	Drosophila americana americana	1999-06-03	884
AF459771	Drosophila kikkawai	2002-05-16	290
L78922	Drosophila mimica	1996-06-25	822
U64537	Drosophila pseudoobscura	1996-08-16	3465
U64542	Drosophila pseudoobscura	1996-08-16	3481
U64550	Drosophila pseudoobscura	1996-08-16	3484
U95271	Drosophila paulistorum	1999-01-06	1167
X54120	Drosophila yakuba	1992-04-14	2284
AF136661	Drosophila americana americana	1999-06-03	884
AF136667	Drosophila americana americana	1999-06-03	884
AF136668	Drosophila americana americana	1999-06-03	884
AF136699	Drosophila americana texana	1999-06-03	884
AF459763	Drosophila watanabei	2002-05-16	290
KY002642	Drosophila melanogaster	2017-10-13	819
LC057205	Drosophila sp. XT-32	2019-06-04	836
U64529	Drosophila pseudoobscura	1996-08-16	3491
U64533	Drosophila pseudoobscura	1996-08-16	3465
AB669834	Drosophila rufa	2014-01-02	838
AB669882	Drosophila bicornuta	2014-01-02	838
AF136694	Drosophila americana americana	1999-06-03	884
AF459753	Drosophila biarmipes	2002-05-16	290
AF459772	Drosophila lini	2002-05-16	290
EF560573	Drosophila brncici	2008-05-01	622
U64546	Drosophila pseudoobscura	1996-08-16	3504
U64557	Drosophila pseudoobscura	1996-08-16	3457
AB669824	Drosophila asahinai	2014-01-02	839
AB669858	Drosophila barbarae	2014-01-02	833
AB669864	Drosophila kikkawai	2014-01-02	832
AF136682	Drosophila americana americana	1999-06-03	884
AF136688	Drosophila americana americana	1999-06-03	884
L78928	Drosophila mimica	1996-06-25	822
AF136659	Drosophila americana americana	1999-06-03	884
AF459775	Drosophila triauraria	2002-05-16	290
AY804554	Drosophila santomea	2005-10-06	759
U64539	Drosophila pseudoobscura	1996-08-16	3489
U76473	Drosophila hydei	1996-11-19	897
U76477	Drosophila hydei	1996-11-19	897
AH011594	Drosophila biauraria	2016-04-08	565
AY340307	Drosophila americana	2003-08-13	881
AY541093	Drosophila innubila	2004-12-13	555
AY541097	Drosophila innubila	2004-12-13	555
AY874369	Drosophila subobscura	2005-05-31	1406
AB703325	Drosophila tolteca	2012-03-18	405
AF136651	Drosophila americana americana	1999-06-03	884
AF136676	Drosophila americana americana	1999-06-03	884
AY340288	Drosophila americana	2003-08-13	881
AY340299	Drosophila americana	2003-08-13	881
AY340303	Drosophila americana	2003-08-13	881
LC057203	Drosophila lutescens	2019-06-04	837
AB703321	Drosophila helvetica	2012-03-18	405
AB932669	Drosophila putrida	2014-10-26	856
AF476924	Drosophila quadraria	2002-04-26	405
AY340296	Drosophila americana	2003-08-13	881
AY364497	Drosophila mojavensis	2004-01-30	880
AY874370	Drosophila subobscura	2005-05-31	1406
EF560580	Drosophila pavani	2008-05-01	626
AB703317	Drosophila ambigua	2012-03-18	405
AF136654	Drosophila americana americana	1999-06-03	884
AY340283	Drosophila americana	2003-08-13	881
AY364510	Drosophila mojavensis	2004-01-30	879
AY364515	Drosophila mojavensis	2004-01-30	879
AY364519	Drosophila mojavensis	2004-01-30	879
AY874365	Drosophila subobscura	2005-05-31	1406
AY874373	Drosophila subobscura	2005-05-31	1419
AY364494	Drosophila mojavensis	2004-01-30	880
AB932650	Drosophila cardini	2014-10-26	833
AY541089	Drosophila innubila	2004-12-13	555
AY044128	Drosophila ruberrima	2002-08-06	720
AY044129	Drosophila neohypocausta	2002-08-06	747
AY154841	Drosophila arizonae	2003-03-03	879
AY364505	Drosophila mojavensis	2004-01-30	880
AY154858	Drosophila arizonae	2003-03-03	880
AB669887	Drosophila mayri	2014-01-02	836
AB669888	Drosophila orosa	2014-01-02	839
AY154846	Drosophila arizonae	2003-03-03	879
AY340289	Drosophila americana	2003-08-13	852
M17830	Drosophila melanogaster	1991-07-01	2722
M17832	Drosophila melanogaster	1991-07-01	2727
M17836	Drosophila melanogaster	1991-07-01	2770
AB669855	Drosophila watanabei	2014-01-02	825
AB932645	Drosophila acutilabella	2014-10-26	845
AY044124	Drosophila kohkoa	2002-08-06	725
AY044125	Drosophila siamana	2002-08-06	725
AY154840	Drosophila arizonae	2003-03-03	878
AY364508	Drosophila mojavensis	2004-01-30	880
M55545	Drosophila subobscura	1992-04-30	3980
AY154853	Drosophila arizonae	2003-03-03	880
AB932647	Drosophila arawakana	2014-10-26	838
AB194428	Drosophila merina	2005-05-07	1800
AF045114	Drosophila sturtevanti	1998-06-02	405
AF045120	Drosophila neocordata	1998-06-02	405
AY154873	Drosophila mojavensis	2003-03-03	880
AF045118	Drosophila prosaltans	1998-06-02	405
AY154871	Drosophila mojavensis	2003-03-03	880
AY165542	Drosophila novamexicana	2003-05-01	743
AY154831	Drosophila mojavensis	2003-03-03	880
AY154833	Drosophila mojavensis	2003-03-03	880
AY154875	Drosophila mojavensis	2003-03-03	878
AB194424	Drosophila pseudoananassae nigrens	2005-05-07	1779
AF348878	Drosophila auraria	2001-04-16	667
AF348885	Drosophila subauraria	2001-04-16	667
CK131258	Drosophila melanogaster	2003-12-03	607
CV790484	Drosophila yakuba	2004-11-12	726
CV785893	Drosophila yakuba	2004-11-12	467
BI628420	Drosophila melanogaster	2001-09-11	590
BI571028	Drosophila melanogaster	2001-09-07	676
BI571793	Drosophila melanogaster	2001-09-07	530
BI571034	Drosophila melanogaster	2001-09-07	547
CV042948	Drosophila simulans	2004-08-24	535
AY695387	Drosophila caribiana	2006-08-01	1141
AA567713	Drosophila melanogaster	1997-09-11	281
BF501656	Drosophila melanogaster	2000-12-07	371
AA820792	Drosophila melanogaster	1998-02-18	587
AY279327	Drosophila lutescens	2004-03-31	2773
AF006564	Drosophila persimilis	1997-09-11	3482
AF399012	Drosophila kuntzei	2001-08-16	4800
JF735883	Drosophila obscura	2011-10-24	639
X62187	Drosophila pseudoobscura	1992-10-16	3444
X62212	Drosophila pseudoobscura	1992-10-16	3459
X62234	Drosophila pseudoobscura	1992-10-16	3499
X64473	Drosophila pseudoobscura	1992-10-16	3487
X64488	Drosophila pseudoobscura	1992-10-16	3469
JF735884	Drosophila phalerata	2011-10-24	370
M19264	Drosophila mauritiana	1988-10-04	4581
U68469	Drosophila guanche	1999-01-06	2146
X62227	Drosophila pseudoobscura	1992-10-16	3444
X64475	Drosophila pseudoobscura	1992-10-16	3470
AH000981	Drosophila melanogaster	2011-06-30	271
X62237	Drosophila pseudoobscura	1992-10-16	3470
X64479	Drosophila pseudoobscura	1992-10-16	3459
X64489	Drosophila pseudoobscura	1992-10-16	3472
X62230	Drosophila pseudoobscura	1992-10-16	3474
X64483	Drosophila pseudoobscura	1992-10-16	3463
M63392	Drosophila picticornis	1991-04-04	1598
X64482	Drosophila pseudoobscura	1992-10-16	3498
X62197	Drosophila pseudoobscura	1992-10-16	3490
X62205	Drosophila pseudoobscura	1992-10-16	3479
X64484	Drosophila pseudoobscura	1992-10-16	3472
X62207	Drosophila pseudoobscura	1992-10-16	3467
X64474	Drosophila pseudoobscura	1992-10-16	3475
U68471	Drosophila madeirensis	1999-01-06	1042
X62202	Drosophila pseudoobscura	1992-10-16	3476
X62208	Drosophila pseudoobscura	1992-10-16	3468
X62216	Drosophila pseudoobscura	1992-10-16	3481
X62231	Drosophila pseudoobscura	1992-10-16	3465
X64481	Drosophila pseudoobscura	1992-10-16	3494
AY238780	Drosophila miranda	2003-04-08	2042
AY238781	Drosophila miranda	2003-04-08	2042
AF264081	Drosophila tropicalis	2000-05-30	405
AF264082	Drosophila willistoni	2000-05-30	405
AY006426	Drosophila primaeva	2001-09-04	508
AY081438	Drosophila nannoptera	2002-08-09	288
AY750121	Drosophila tsigana	2005-12-31	911
AY750125	Drosophila moriwakii	2005-12-31	911
AY750133	Drosophila gani	2005-12-31	911
M73256	Drosophila melanogaster	1991-07-12	1375
MG684382	Drosophila rubida	2018-02-04	693
AB026529	Drosophila paulistorum	1999-10-29	776
AF059890	Drosophila pinicola	1998-04-28	290
AY006424	Drosophila obscuripes	2001-09-04	510
AY750128	Drosophila tsigana	2005-12-31	911
HQ631469	Drosophila biarmipes	2011-08-30	290
HQ631474	Drosophila fuyamai	2011-08-30	290
HQ631477	Drosophila liui	2011-08-30	290
HQ631482	Drosophila pseudoananassae	2011-08-30	290
HQ631483	Drosophila prostipennis	2011-08-30	290
HQ631485	Drosophila tani	2011-08-30	290
HQ631486	Drosophila trapezifrons	2011-08-30	290
HQ631487	Drosophila trilutea	2011-08-30	290
JF710263	Drosophila kanekoi	2011-07-03	890
AF264073	Drosophila capricorni	2000-05-30	405
AF264074	Drosophila equinoxialis	2000-05-30	405
AY006412	Drosophila oahuensis	2001-09-04	510
AY750122	Drosophila lacertosa	2005-12-31	911
AY750129	Drosophila yunnanensis	2005-12-31	911
AY750143	Drosophila medioconstricta	2005-12-31	911
DQ471664	Drosophila mercatorum	2006-07-20	711
EU532133	Drosophila fumipennis	2010-01-21	590
HQ631479	Drosophila ogumai	2011-08-30	290
L08648	Drosophila willistoni	1993-01-15	1308
M36581	Drosophila simulans	1990-08-30	2719
U26843	Drosophila lummei	1995-06-22	950
X68159	Drosophila pseudoobscura	1992-10-08	3476
X68161	Drosophila pseudoobscura	1992-10-08	3463
AB026526	Drosophila emarginata	1999-10-29	840
AY750140	Drosophila unimaculata	2005-12-31	911
AY754404	Drosophila affinis	2005-04-04	2529
DQ471657	Drosophila aracataca	2006-07-20	711
U94206	Drosophila soonae	1998-02-23	204
U94196	Drosophila cyrtoloma	1998-02-23	222
GQ376038	Drosophila simulans	2009-08-02	410
AY238770	Drosophila miranda	2003-04-08	2042
AF260693	Drosophila robusta	2000-09-20	458
M60992	Drosophila pseudoobscura bogotana	1992-04-30	3485
X03630	Drosophila mojavensis	1986-11-18	285
AB261132	Drosophila ruberrima	2007-11-03	858
AB932674	Drosophila sternopleuralis	2014-10-26	755
HQ232350	Drosophila hypercephala	2011-08-08	437
KM016470	Drosophila simulans	2014-09-24	476
KM016474	Drosophila simulans	2014-09-24	481
U95272	Drosophila paulistorum	1999-01-06	1166
X57365	Drosophila yakuba	1991-07-17	975
AB261133	Drosophila hypocausta	2007-11-03	850
AB261138	Drosophila neonasuta	2007-11-03	856
AB932653	Drosophila deflecta	2014-10-26	848
AB932661	Drosophila macrospina	2014-10-26	847
AB932671	Drosophila recens	2014-10-26	839
AF260690	Drosophila hydei	2000-09-20	450
KM016467	Drosophila simulans	2014-09-24	481
X57367	Drosophila yakuba	1991-07-17	975
X57368	Drosophila yakuba	1991-07-17	975
X57371	Drosophila yakuba	1991-07-17	975
X57364	Drosophila simulans	1991-07-17	975
X57366	Drosophila yakuba	1991-07-17	975
AB033639	Drosophila sordidula	1999-11-16	711
AB033640	Drosophila virilis	1999-11-16	711
AB932652	Drosophila curvispina	2015-01-14	845
AB932676	Drosophila tenebrosa	2014-10-26	849
U26845	Drosophila montana	1995-06-22	957
U76484	Drosophila hydei	1997-03-06	251
U95254	Drosophila willistoni	1999-01-06	1172
X57363	Drosophila simulans	1991-07-17	972
X60791	Drosophila melanogaster	1991-10-07	1925
AF201442	Drosophila simulans	2000-07-03	478
DQ471623	Drosophila daruma	2006-07-20	711
DQ471645	Drosophila beppui	2006-07-20	711
DQ471652	Drosophila lacertosa	2006-07-20	711
EU532124	Drosophila paulistorum	2010-01-21	588
JX455219	Drosophila simulans	2012-09-03	481
KX976501	Drosophila yakuba	2016-11-12	771
M60987	Drosophila pseudoobscura	1992-01-26	3466
U95263	Drosophila willistoni	1999-01-06	1172
AB154557	Drosophila kikkawai	2004-04-01	686
AB154562	Drosophila kikkawai	2004-04-01	683
AF201445	Drosophila simulans	2000-07-03	465
AY095939	Drosophila transversa	2003-05-01	435
DQ471621	Drosophila daruma	2006-07-20	711
DQ471638	Drosophila angor	2006-07-20	711
EU532121	Drosophila paulistorum	2010-01-21	558
JF710264	Drosophila borealis	2011-07-03	895
KX976493	Drosophila yakuba	2016-11-12	771
KX976495	Drosophila yakuba	2016-11-12	771
KX976520	Drosophila yakuba	2016-11-12	771
M60997	Drosophila persimilis	1992-01-24	3506
Z00030	Drosophila melanogaster	1986-07-02	7423
AF284476	Drosophila mauritiana	2000-11-02	701
DQ471618	Drosophila daruma	2006-07-20	711
DQ471620	Drosophila barutani	2006-07-20	711
DQ471649	Drosophila karakasa	2006-07-20	711
EU532126	Drosophila paulistorum	2010-01-21	507
KX384730	Drosophila bipectinata	2017-01-03	873
KX976491	Drosophila yakuba	2016-11-12	771
M60983	Drosophila pseudoobscura	1992-01-26	3487
U95269	Drosophila equinoxialis	1999-01-06	1167
DQ471639	Drosophila barutani	2006-07-20	711
AF201435	Drosophila simulans	2000-07-03	480
AF201447	Drosophila simulans	2000-07-03	480
DQ471612	Drosophila angor	2006-07-20	711
EU532122	Drosophila paulistorum	2010-01-21	573
EU532123	Drosophila paulistorum	2010-01-21	588
DQ471610	Drosophila lacertosa	2006-07-20	711
U95252	Drosophila willistoni	1999-01-06	1172
JX455210	Drosophila simulans	2012-09-03	480
JX455211	Drosophila simulans	2012-09-03	480
AB154548	Drosophila kikkawai	2004-04-01	686
AB154549	Drosophila kikkawai	2004-04-01	686
AB154558	Drosophila kikkawai	2004-04-01	683
AY095940	Drosophila kuntzei	2003-05-01	431
AY095946	Drosophila curvispina	2003-05-01	443
AY095951	Drosophila phalerata	2003-05-01	430
AY335196	Drosophila capricorni	2003-12-31	776
AY335199	Drosophila sturtevanti	2003-12-31	792
DQ471616	Drosophila angor	2006-07-20	711
DQ471619	Drosophila asper	2006-07-20	711
DQ471640	Drosophila medioconstricta	2006-07-20	711
KX976505	Drosophila yakuba	2016-11-12	771
U95274	Drosophila tropicalis	1999-01-06	1162
U95268	Drosophila equinoxialis	1999-01-06	1174
AB669852	Drosophila jambulina	2014-01-02	830
AF136658	Drosophila americana americana	1999-06-03	884
AF136674	Drosophila americana americana	1999-06-03	884
AF136706	Drosophila americana texana	1999-06-03	884
